WKT,nombre,descripción
POINT (-7.179022 37.795701),SBC1,tadpoles
POINT (-7.1784502 37.7943258),SBC2,tadpoles
POINT (-7.2632462 37.6232238),PDG,tadpoles
POINT (-5.8986752 36.2957456),LLM,tadpoles
POINT (-5.7673198 36.3224251),BNL,tadpoles
POINT (-3.0508943 38.3774001),VDS,tadpoles
POINT (-5.2124661 38.7421176),CDB1,clutch
POINT (-5.2117836 38.7422474),CDB2,clutch
POINT (-6.639795 38.357853),BDC1,tadpoles
POINT (-6.6053721 38.400821),BDC2,clutch
POINT (-6.5051475 39.4633878),MDC1,
POINT (-6.5052414 39.462427),MDC2,
POINT (-6.6092735 40.1664011),VDG1,
POINT (-6.6089623 40.1667229),VDG2,
POINT (-1.2388804 39.7530871),SNC,tadpoles
POINT (-0.933767 37.976479),ORI,tadpoles
POINT (-8.9063173 42.4750763),OGV2,
POINT (-8.8262081 42.0678262),ADG1,
POINT (-8.8261082 42.0676292),ADG2,
POINT (-8.4485276 42.0959864),ANV1,
POINT (-8.4486295 42.0959427),ANV2,
POINT (-7.575279 42.52831),MDL,
POINT (-7.6318251 41.9267583),SCD1,clutch
POINT (-7.6316749 41.9269698),SCD2,clutch
POINT (-6.2466421 41.7597537),RBN1,clutch
POINT (-6.2469653 41.7598167),RBN2,Clutch
POINT (-4.6706561 42.5616542),SDÑ1,
POINT (-4.6701894 42.5617648),SDÑ2,
POINT (-5.4674747 41.4345531),VDM1,clutch
POINT (-5.4675459 41.4345373),VDM2,Clutch
POINT (-6.1827431 41.3172275),VDB1,clutch
POINT (-6.1828353 41.3181745),VDB2,
POINT (-6.3408771 41.1038942),BRC1,
POINT (-6.3610888 41.131436),BRC2,
POINT (-5.434095 40.5483255),GDS1,
POINT (-5.4341031 40.5483938),GDS2,
POINT (-1.66282 38.19006),CLP2,tadpoles
POINT (-1.66256 38.19879),CLP3,tadpoles
POINT (-1.63676 38.19633),CLP1,tadpoles
POINT (-1.943 37.749),LRC,Tadpoles
POINT (-8.8816685 37.1044072),RPS1,
POINT (-8.8817396 37.1044447),RPS2,
POINT (-8.8943483 37.1218227),RPS3,
POINT (-8.0856194 37.49954),ALM1,
POINT (-8.0025088 37.5398047),ALM,gen
POINT (-8.092609 37.6049078),ROS1,
POINT (-8.0925875 37.6048802),ROS2,
POINT (-8.0051128 38.2740538),ALV1,
POINT (-8.0050538 38.2740517),ALV2,
POINT (-9.1870112 38.5666773),MDM1,
POINT (-9.1870166 38.5666354),MDM2,
POINT (-8.1323719 39.010743),MOR1,
POINT (-8.1316614 39.009315),MOR2,
POINT (-8.9297959 39.8390794),VDL1,
POINT (-8.9297557 39.8391947),VDL2,
POINT (-8.7386009 41.3166603),MIN1,
POINT (-8.7369969 41.3265918),MIN2,
POINT (-1.3083705 41.6815741),RDJ,
POINT (-1.9755324 42.2166129),AUT,
POINT (-1.3575676 42.0015312),BRD,
POINT (-4.35690451 39.66236321),MNB1,
POINT (-4.3569045 39.6623632),MNB2,
POINT (-3.82133131 40.22306611),HUM1,
POINT (-3.8213313 40.2230661),HUM2,
POINT (-4.3262586 39.23521),CDR2,
POINT (-4.3635186 39.2740749),CDR1,
POINT (-3.6462333 40.8537751),VMC1,
POINT (-3.6457023 40.8537203),VMC2,
POINT (-6.1421477 37.53557),GRN,
POINT (-4.1737832 37.1136866),LOJ1,
POINT (-4.1733255 37.1137405),LOJ2,
POINT (0.4464113 41.425607),SER1,
POINT (0.4464355 41.4257779),SER2,
POINT (0.4255546 41.4246831),SER,gen
POINT (2.7800345 41.8327353),LDC1,
POINT (2.7799516 41.8327761),LDC2,
POINT (3.0290023 42.3537659),DLF1,
POINT (3.0287019 42.3538769),DLF2,
POINT (2.2951237 42.0349814),TOR1,
POINT (2.2950673 42.0349854),TOR2,
POINT (2.0709308 42.0440431),SMA,
POINT (1.6549547 41.2951347),FOIX,
POINT (-1.660125 40.813901),HOM1,
POINT (-1.6601129 40.8138817),HOM2,
POINT (-2.65120251 41.88565431),ROY1,
POINT (-2.6512025 41.8856543),ROY2,
POINT (-3.75641091 40.87192051),CAN1,
POINT (-3.7564109 40.8719205),CAN2,
POINT (-4.5846362 41.4623042),VAL1,
POINT (-6.75794341 37.17411141),DÑN1,
POINT (-6.7579434 37.1741114),DÑN2,
POINT (-6.14214 37.53557),GER1,
POINT (-6.14214 37.53557),GER2,
